sample,patient,vessel,seed,group,n_edges,pred_gt_length_ratio,broken_edge_fraction_5x,signed_excess_mm,positive_excess_mm
520_RCA,520,RCA,181081,always_consecutive,661,1.629555673146011,0.009077155824508321,195.51121801663496,228.6479284555031
520_RCA,520,RCA,181081,rescued,12,49.85274326111459,0.6666666666666666,263.9791418275428,263.9791418275428
520_RCA,520,RCA,181081,sacrificed,10,4.760724769658643,0.1,19.07075944510038,19.55327483402447
520_RCA,520,RCA,181081,always_nonconsecutive,2,5.449791577549757,0.5,3.1148574992063827,3.1148574992063827
520_RCA,520,RCA,205019,always_consecutive,661,1.273284236278379,0.007564296520423601,84.86959323633937,130.527326396441
520_RCA,520,RCA,205019,rescued,12,39.064638118269635,0.75,205.68487732059313,205.68487732059313
520_RCA,520,RCA,205019,sacrificed,10,0.7775343544026799,0.0,-1.1281306322160183,0.33382492908660955
520_RCA,520,RCA,205019,always_nonconsecutive,2,5.282024505659152,0.5,2.997420420886841,2.997420420886841
523_LCA,523,LCA,104729,always_consecutive,1197,1.6387137880422395,0.013366750208855471,363.93256803037093,458.6074687084527
523_LCA,523,LCA,104729,rescued,25,62.42724095826422,0.84,747.690782800505,747.690782800505
523_LCA,523,LCA,104729,sacrificed,19,0.8755687400487013,0.0,-1.294794915949888,1.1920634719351515
523_LCA,523,LCA,104729,always_nonconsecutive,4,47.458386084901996,0.75,78.51224982156701,78.51224982156701
523_LCA,523,LCA,130363,always_consecutive,1197,1.6701699727559447,0.009189640768588136,381.8559795765442,465.76202074531045
523_LCA,523,LCA,130363,rescued,25,61.06510672242588,0.84,731.1109202316277,731.1109202316277
523_LCA,523,LCA,130363,sacrificed,19,0.8400501138040478,0.0,-1.6643912432803476,0.6034261366399476
523_LCA,523,LCA,130363,always_nonconsecutive,4,17.435631788402453,0.75,27.775360654762267,27.775360654762267
523_LCA,523,LCA,155921,always_consecutive,1197,1.6431688680501637,0.018379281537176273,366.47102694329703,463.9843518623863
523_LCA,523,LCA,155921,rescued,25,69.04005309801212,0.84,828.1817605515673,828.1817605515673
523_LCA,523,LCA,155921,sacrificed,19,0.8008083943143046,0.0,-2.072728978575623,0.5876099119743401
523_LCA,523,LCA,155921,always_nonconsecutive,4,46.067756711891796,0.75,76.16215869822366,76.16215869822366
523_LCA,523,LCA,181081,always_consecutive,1197,1.2605475743282935,0.009189640768588136,148.4573365951965,261.028067462224
523_LCA,523,LCA,181081,rescued,25,50.330923107999546,0.8,600.4547158475204,600.4547158475204
523_LCA,523,LCA,181081,sacrificed,19,0.7712837032389245,0.0,-2.379954188015402,0.03440204831625171
523_LCA,523,LCA,181081,always_nonconsecutive,4,94.83898270716075,0.75,158.58298736082438,158.58298736082438
523_LCA,523,LCA,205019,always_consecutive,1197,1.3162799586081235,0.010025062656641603,180.21307776305855,288.3700234140745
